"","USAState","TotalCases","NewCases","TotalDeaths","NewDeaths","ActiveCases","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop"
"1","USA Total","1,188,122","+27,348","68,597","+1,153","941,262","3,589","207","7,196,740","21,742"
"2","New York","323,883","+4,670","24,648","+280","246,444","16,509","1,256","985,911","50,254"
"3","New Jersey","127,438","+3,721","7,886","+144","118,281","14,348","888","273,789","30,826"
"4","Massachusetts","68,087","+1,824","4,004","+158","55,965","9,969","586","314,646","46,067"
"5","Illinois","61,499","+2,994","2,618","+59","58,275","4,797","204","319,313","24,905"
"6","California","54,859","+1,253","2,212","+24","48,739","1,401","57","715,751","18,283"
"7","Pennsylvania","52,048","+1,133","2,831","+55","48,301","4,069","221","240,641","18,813"
"8","Michigan","43,754","+547","4,049","+29","24,046","4,394","407","218,588","21,952"
"9","Florida","36,078","+615","1,379","+15","34,013","1,752","67","429,970","20,874"
"10","Texas","31,993","+851","888","+14","15,561","1,147","32","390,560","14,006"
"11","Louisiana","29,340","+200","2,012","+19","10,025","6,291","431","176,178","37,777"
"12","Connecticut","29,287","","2,495","+59","26,727","8,177","697","102,493","28,617"
"13","Georgia","28,671","+339","1,179","+5","27,461","2,784","114","183,002","17,772"
"14","Maryland","25,462","+989","1,281","+30","22,664","4,241","213","132,794","22,120"
"15","Indiana","19,933","+638","1,246","+17","18,673","3,003","188","108,859","16,401"
"16","Ohio","19,916","+581","1,040","+19","18,428","1,711","89","149,346","12,828"
"17","Virginia","18,671","+940","660","+44","15,514","2,219","78","119,065","14,151"
"18","Colorado","16,635","+410","842","+10","15,234","3,008","152","81,352","14,708"
"19","Washington","15,776","+264","837","+1","13,088","2,163","115","193,981","26,593"
"20","Tennessee","13,177","+516","210","+1","7,153","1,981","32","204,607","30,763"
"21","North Carolina","11,743","+164","432","+2","9,503","1,156","43","143,835","14,163"
"22","Rhode Island","9,477","+188","320","+24","8,815","8,969","303","71,927","68,073"
"23","Iowa","9,169","+528","184","+9","5,829","2,927","59","53,186","16,979"
"24","Arizona","8,640","+276","362","+14","8,208","1,244","52","81,119","11,677"
"25","Missouri","8,434","+106","377","","6,139","1,385","62","82,152","13,490"
"26","Wisconsin","7,964","+304","339","+5","3,902","1,378","59","85,961","14,876"
"27","Alabama","7,888","+277","290","+1","7,578","1,621","60","96,860","19,911"
"28","Mississippi","7,550","+109","303","+12","3,834","2,526","101","77,593","25,962"
"29","Minnesota","6,663","+435","419","+24","3,229","1,205","76","82,632","14,950"
"30","South Carolina","6,626","+137","275","+8","1,470","1,337","55","64,188","12,952"
"31","Nebraska","5,659","+333","78","+2","5,559","2,971","41","32,798","17,219"
"32","Nevada","5,426","+115","262","+5","2,259","1,856","90","56,203","19,229"
"33","Delaware","5,208","+170","177","+9","3,391","5,485","186","23,737","25,000"
"34","Utah","5,175","+194","50","+1","2,940","1,699","16","122,102","40,095"
"35","Kentucky","5,130","+251","253","+5","3,755","1,155","57","58,408","13,154"
"36","District Of Columbia","5,016","+219","251","+11","4,099","7,328","367","23,102","33,750"
"37","Kansas","4,896","+262","143","+3","3,849","1,683","49","33,034","11,357"
"38","Oklahoma","3,972","+121","238","","1,333","1,014","61","63,552","16,220"
"39","New Mexico","3,850","+118","151","+12","2,939","1,840","72","74,944","35,817"
"40","Arkansas","3,431","+59","76","+4","1,356","1,147","25","52,890","17,685"
"41","Oregon","2,680","+45","109","","1,711","657","27","62,054","15,202"
"42","South Dakota","2,631","+43","21","","811","3,044","24","18,091","20,932"
"43","New Hampshire","2,518","+89","86","+2","1,325","1,874","64","30,836","22,950"
"44","Idaho","2,061","","64","","910","1,221","38","29,335","17,381"
"45","West Virginia","1,195","+11","50","","664","653","27","51,783","28,311"
"46","North Dakota","1,191","+38","25","+1","649","1,583","33","33,353","44,341"
"47","Maine","1,185","+33","57","+1","422","889","43","20,641","15,487"
"48","Vermont","897","+11","52","+1","845","1,435","83","16,954","27,127"
"49","Hawaii","620","","17","+1","59","436","12","32,432","22,807"
"50","Wyoming","586","+7","7","","188","1,007","12","9,306","15,994"
"51","Montana","455","","16","","35","437","15","15,007","14,406"
"52","Alaska","368","+3","9","","97","498","12","21,578","29,218"
"53","Guam","148","+2","5","","12","","","605",""
"54","Northern Mariana Islands","14","","2","","0","","","948",""
"55","Puerto Rico","1,808","+51","97","+2","1,336","534","29","13,022","3,845"
"56","United States Virgin Islands","66","","4","","11","","","872",""
"57","Veteran Affairs","9,329","+90","538","+10","8,791","","","107,178",""
"58","US Military","7,145","","27","","4,793","","","",""
"59","Navajo Nation","2,373","+66","73","","2,300","","","11,627",""
"60","Federal Prisons","2,276","+8","38","+1","1,575","","","",""
"61","Grand Princess Ship","103","","3","","100","","","",""
"62","Wuhan Repatriated","3","","","","3","","","3",""
"63","Diamond Princess Ship","46","","","","46","","","46",""
"64","Total:","1,188,122","+27,348","68,597","+1,153","941,262","3,589","207","7,196,740","21,742"
